product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
2020 Subaru Forester Sport,"$32,082 ",null,Sold by Subaru Of Georgetown,"Georgetown, TX 78626",-4.7,33 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,512210,Automatic CVT,JF2SKAMCXLH512210,(512) 686-5164
2020 Subaru Forester Sport,"$33,332 ",null,Sold by Subaru Of Georgetown,"Georgetown, TX 78626",-4.7,33 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Magnetite,Gray,480325,Automatic CVT,JF2SKARC7LH480325,(512) 686-5164
2020 Subaru Forester Sport,"$33,332 ",null,Sold by Subaru Of Georgetown,"Georgetown, TX 78626",-4.7,33 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Dark Blue Pearl,Gray,512246,Automatic CVT,JF2SKARC8LH512246,(512) 686-5164
2020 Subaru Forester Sport,"$31,468 ",10 miles,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Magnetite Gray Metallic,Gray,U47180,Automatic CVT,JF2SKARC5LH486933,(512) 879-4628
2020 Subaru Forester Sport,"$30,426 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,510444,Automatic CVT,JF2SKAMC3LH510444,(737) 241-3286
2020 Subaru Forester Sport,"$30,426 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,512159,Automatic CVT,JF2SKAMC3LH512159,(737) 241-3286
2020 Subaru Forester Sport,"$31,468 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,505564,Automatic CVT,JF2SKARC9LH505564,(737) 241-3286
2020 Subaru Forester Sport,"$31,468 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,505881,Automatic CVT,JF2SKARCXLH505881,(737) 241-3286
2020 Subaru Forester Sport,"$33,332 ",null,Sold by Subaru Of Georgetown,"Georgetown, TX 78626",-4.7,33 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal Black Silica,Gray,509968,Automatic CVT,JF2SKARC9LH509968,(512) 686-5164
2020 Subaru Forester Sport,"$31,468 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Dark Blue Pearl,Gray,506888,Automatic CVT,JF2SKARC7LH506888,(737) 241-3286
2020 Subaru Forester Sport,"$30,426 ",10 miles,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal Black,Gray,U47423,Automatic CVT,JF2SKAMC9LH506172,(737) 241-3286
2020 Subaru Forester Sport,"$31,468 ",10 miles,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Ice Silver Metallic,Gray,U47096,Automatic CVT,JF2SKARC7LH481393,(737) 241-3286
2020 Subaru Forester Sport,"$30,426 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,507593,Automatic CVT,JF2SKAMC5LH507593,(737) 241-3286
2020 Subaru Forester Sport,"$33,332 ",null,Sold by Subaru Of Georgetown,"Georgetown, TX 78626",-4.7,33 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal White Pearl,Gray,510019,Automatic CVT,JF2SKARC9LH510019,(512) 686-5164
2020 Subaru Forester Sport,"$30,426 ",null,Sold by CAG - Austin Subaru,"Austin, TX 78757",-4.9,584 Reviews,Gasoline,26,33,AWD,2.5L H4 16V GDI DOHC,Crystal Black Silica,Gray,505935,Automatic CVT,JF2SKAMC8LH505935,(737) 241-3286
