web-scraper-order,web-scraper-start-url,car_page,car_page-href,product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
"1583296799-164","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","SPECIAL OFFERS
                                                    
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                New
                        
    
                        
                            
                                    $32,082
                            
                                        MSRP $32,082
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                            
    
    
                    
                        
                            
                                Subaru Of Georgetown
    
                                        
                                            
                                             () -
                                            (512) 686-5164
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (33 reviews)
                                    
    
                            
                                10 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/803793589/overview/","2020 Subaru Forester Sport","$32,082","null","Sold by Subaru Of Georgetown","Georgetown, TX 78626","(4.7)","33 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal White Pearl","Gray","512210","Automatic CVT","JF2SKAMCXLH512210","(512) 686-5164"
"1583296840-167","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","SPECIAL OFFERS
                                                    
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                New
                        
    
                        
                            
                                    $33,332
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    Other
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                            
    
    
                    
                        
                            
                                Subaru Of Georgetown
    
                                        
                                            
                                             () -
                                            (512) 686-5164
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (33 reviews)
                                    
    
                            
                                10 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/799780235/overview/","2020 Subaru Forester Sport","$33,332","null","Sold by Subaru Of Georgetown","Georgetown, TX 78626","(4.7)","33 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Magnetite","Gray","480325","Automatic CVT","JF2SKARC7LH480325","(512) 686-5164"
"1583296843-168","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","SPECIAL OFFERS
                                                    
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                New
                        
    
                        
                            
                                    $33,332
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                            
    
    
                    
                        
                            
                                Subaru Of Georgetown
    
                                        
                                            
                                             () -
                                            (512) 686-5164
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (33 reviews)
                                    
    
                            
                                10 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/803793381/overview/","2020 Subaru Forester Sport","$33,332","null","Sold by Subaru Of Georgetown","Georgetown, TX 78626","(4.7)","33 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Dark Blue Pearl","Gray","512246","Automatic CVT","JF2SKARC8LH512246","(512) 686-5164"
"1583297002-183","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","See all 30 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                New
                        
    
                        
                            
                                    $31,468
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    Gray
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/803551844/overview/","2020 Subaru Forester Sport","$31,468","10 miles","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Magnetite Gray Metallic","Gray","U47180","Automatic CVT","JF2SKARC5LH486933","(512) 879-4628"
"1583296859-170","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","New
                        
    
                        
                            
                                    $30,426
                            
                                        MSRP $32,082
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/802915635/overview/","2020 Subaru Forester Sport","$30,426","null","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal White Pearl","Gray","510444","Automatic CVT","JF2SKAMC3LH510444","(737) 241-3286"
"1583296909-178","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","New
                        
    
                        
                            
                                    $30,426
                            
                                        MSRP $32,082
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/802915638/overview/","2020 Subaru Forester Sport","$30,426","null","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal White Pearl","Gray","512159","Automatic CVT","JF2SKAMC3LH512159","(737) 241-3286"
"1583296846-169","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","New
                        
    
                        
                            
                                    $31,468
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/802915677/overview/","2020 Subaru Forester Sport","$31,468","null","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal White Pearl","Gray","505564","Automatic CVT","JF2SKARC9LH505564","(737) 241-3286"
"1583296902-175","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","New
                        
    
                        
                            
                                    $31,468
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/802915689/overview/","2020 Subaru Forester Sport","$31,468","null","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal White Pearl","Gray","505881","Automatic CVT","JF2SKARCXLH505881","(737) 241-3286"
"1583296807-166","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","SPECIAL OFFERS
                                                    
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                New
                        
    
                        
                            
                                    $33,332
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                            
    
    
                    
                        
                            
                                Subaru Of Georgetown
    
                                        
                                            
                                             () -
                                            (512) 686-5164
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (33 reviews)
                                    
    
                            
                                10 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/803793588/overview/","2020 Subaru Forester Sport","$33,332","null","Sold by Subaru Of Georgetown","Georgetown, TX 78626","(4.7)","33 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Crystal Black Silica","Gray","509968","Automatic CVT","JF2SKARC9LH509968","(512) 686-5164"
"1583296886-173","https://www.cars.com/for-sale/searchresults.action/?dealerType=all&mdId=21165&mkId=20041&page=1&perPage=100&rd=20&searchSource=GN_REFINEMENT&sort=relevance&stkTypId=28880&trId=25398&zc=78660","New
                        
    
                        
                            
                                    $31,468
                            
                                        MSRP $33,332
                        
    
    
                        
                            2020 Subaru Forester Sport
                        
    
    
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    AWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
    
    
                    
                        
                            
                                CAG - Austin Subaru
    
                                        
                                            
                                             () -
                                            (737) 241-3286
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (584 reviews)
                                    
    
                            
                                8 mi. from 78660
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/802915199/overview/","2020 Subaru Forester Sport","$31,468","null","Sold by CAG - Austin Subaru","Austin, TX 78757","(4.9)","584 Reviews","Gasoline","26","33","AWD","2.5L H4 16V GDI DOHC","Dark Blue Pearl","Gray","506888","Automatic CVT","JF2SKARC7LH506888","(737) 241-3286"
